,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,A laptop,Energy/Mining,"1000-9,999 employees","2,000-2,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,
32,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Manufacturing/Fabrication,250-999 employees,,, R,RStudio ,Ggplot / ggplot2 ,,
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Non-profit/Service,0-49 employees,"7,500-9,999",,Python," Notepad++,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Computers/Technology,0-49 employees,$0-999,,"Python, SQL, C, C++, Java, Javascript, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,MATLAB ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",
52,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years,A laptop,Manufacturing/Fabrication,250-999 employees,"25,000-29,999",," R, SQL","RStudio ,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
53,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years,A laptop,Accounting/Finance,50-249 employees,"60,000-69,999",,"Python, SQL, Other","PyCharm , Other", Matplotlib , None of these activities are an important part of my role at work, Colab 
66,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,< 1 years,A laptop,Computers/Technology,0-49 employees,$0-999,,Python,"PyCharm , Spyder", None,Analyze and understand data to influence product or business decisions,
67,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,A personal computer / desktop,Online Service/Internet-based Services,"1000-9,999 employees","7,500-9,999",,Python," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub 
77,22-24,Man,China,Master’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,"1000-9,999 employees","20,000-24,999",,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
82,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,A laptop,Computers/Technology,"10,000 or more employees","20,000-24,999",,Python,"Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle 
