,edad,genero,salario,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaño_empresa,lenguaje_programacion
16,45-59,Hombre,0-14K,Belgica,Grado,Data Analyst,20+ years,Energía/Minería,Grande,"Python, SQL"
32,18-29,No binario,No sabe/No contesta,Estados Unidos,Estudios Universitarios,Data Analyst,< 1 years,Fabricación,Mediana, R
33,30-44,Mujer,0-14K,Egipto,Grado,Data Analyst,3-5 years,ONG/Servicio,Startup,Python
46,18-29,Hombre,No sabe/No contesta,China,Estudios Universitarios,Data Analyst,< 1 years,Tecnológico,Startup,"Python, SQL, C, C++, Java, Javascript, MATLAB"
52,30-44,Hombre,15K-39K,Sudafrica,Master,Data Analyst,1-3 years,Fabricación,Mediana," R, SQL"
53,30-44,Hombre,+40K,Otros,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL, Other"
66,30-44,Prefiero no decirlo,No sabe/No contesta,China,Prefiero no responder,Data Analyst,< 1 years,Tecnológico,Startup,Python
67,30-44,Hombre,0-14K,Otros,Master,Business Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Grande,Python
77,18-29,Hombre,15K-39K,China,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande,Python
82,30-44,Hombre,15K-39K,India,Master,Business Analyst,1-3 years,Tecnológico,Multinacional,Python
91,30-44,Hombre,+40K,Estados Unidos,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
102,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Tecnológico,Mediana,Python
106,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Tecnológico,Multinacional," SQL, C++"
108,30-44,Hombre,+40K,Israel,Grado,Data Analyst,< 1 years,Fabricación,Mediana,"Python, SQL"
109,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Fabricación,Grande," R, SQL, C++"
142,30-44,Hombre,No sabe/No contesta,Colombia,Prefiero no responder,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, SQL
150,60-70+,Mujer,+40K,Estados Unidos,Master,Data Analyst,20+ years,Gobierno/servicio público,Grande,"Python, SQL"
167,45-59,Hombre,+40K,Austria,Master,Business Analyst,5-10 years,Seguro/Evaluación de Riesgos,Mediana,"Python, SQL, Javascript"
185,18-29,Hombre,0-14K,Brasil,Grado,Data Analyst,3-5 years,Negocios en línea/ventas basadas en Internet,Grande,"Python, SQL, C, Javascript"
189,30-44,Hombre,+40K,Estados Unidos,Master,Business Analyst,I have never written code,Contabilidad/Finanzas,Grande,No sabe/No contesta
190,30-44,Hombre,+40K,Japon,Grado,Business Analyst,I have never written code,Fabricación,Multinacional,No sabe/No contesta
197,30-44,Hombre,15K-39K,Rusia,Grado,Business Analyst,1-3 years,Envío/Transporte,Startup,Python
220,30-44,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
247,18-29,Hombre,No sabe/No contesta,Ucrania,Doctorado,Data Analyst,3-5 years,Otros,Startup,"Python, SQL, C++, Other"
253,45-59,Mujer,No sabe/No contesta,Brasil,Master,Business Analyst,1-3 years,Tecnológico,Multinacional, SQL
257,18-29,Mujer,0-14K,Pakistan,Master,Data Analyst,< 1 years,Tecnológico,Grande, SQL
263,18-29,Mujer,0-14K,India,Grado,Data Analyst,< 1 years,Energía/Minería,Multinacional,"Python, R, SQL"
265,30-44,Mujer,No sabe/No contesta,Otros,Master,Data Analyst,10-20 years,Tecnológico,Startup,"Python, R, SQL"
269,18-29,Mujer,No sabe/No contesta,Pakistan,Doctorado,Data Analyst,3-5 years,Académico/Educación,Pequeña,Python
270,18-29,Mujer,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Mediana,"Python, SQL"
282,30-44,Hombre,No sabe/No contesta,Canada,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL"
284,30-44,Hombre,0-14K,Nigeria,Master,Data Analyst,1-3 years,Fabricación,Grande,"Python, R, SQL"
292,18-29,Hombre,0-14K,India,Grado,Business Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Grande,"Python, R, SQL, C, C++"
295,45-59,Hombre,0-14K,Otros,Master,Business Analyst,< 1 years,Gobierno/servicio público,Grande,Python
298,30-44,Hombre,15K-39K,Mexico,Master,Business Analyst,20+ years,Otros,Startup,"Python, R"
309,30-44,Mujer,0-14K,Tunez,Doctorado,Data Analyst,3-5 years,Académico/Educación,Startup, C++
311,18-29,Hombre,15K-39K,China,Grado,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
